space
armycamp
armyexchange
barrack
barracks
bus
cafe
cafeteria
camp
depot
eat
east 
eastern
fort
home
house
housing
latrine
live
messhall
north
northern
post
postexchange
px
ride
sc
sit
seat
serviceclub
sleep
south
southern
station
stationed
theater
town
train
transport
west
western
